,product,topic,review_count,topic_coherence,top_words,best_review,best_review_fit,top_bigrams_pmi,top_bigrams_freq,top_trigrams_pmi,top_trigrams_freq
0,B002IEZJMA,0,6,0.6792476254843234,"['illy', 'issimo', 'mg', 'cappuccino', 'caffe', 'caffeine', 'potassium', 'ingredient', 'per', 'italian']","the history of illy issimo coffee dates back to 1933 in trieste, italy. with decades of experience and accomplishments the brand has become a favorite of chefs and barristas in italy and around the world. this 6.8-ounce can of illy issimo italian espresso-style coffee with 155 mg caffeine has a strong flavorful full-bodied taste with a touch of sweetness. i found it a big energizer. the ingredients are a blend of 100% arabica coffee, sugar, potassium bicarbonate and potassium citrate. there are only 45 calories per can. the label says illy issimo's bold, full-bodied, italian espresso-style coffee is made with the finest natural ingredients and will ""awaken the senses while you are on-the-go."" i can vouch for that.",0.69972724,"['155 mg', 'anyone who', 'mg caffeine', 'am sure', 'by coca-cola', '4 %', 'looking for', '50 calories', 'espresso style', 'bicarbonate potassium']","['it is', '. i', 'coffee ,', 'illy issimo', 'a of', 'italian espresso', 'the can', ', potassium']","['155 mg caffeine', 'bicarbonate potassium citrate', 'has 50 calories', 'only calories per', 'sugar potassium bicarbonate', 'if like your', 'am not sure', 'potassium bicarbonate potassium', 'i am sure', 'if you your']","[', , potassium', ', potassium bicarbonate', ', sugar ,', ', sugar potassium', 'bicarbonate potassium citrate', 'coffee , ,', 'coffee , sugar', 'coffee sugar ,']"
1,B002IEZJMA,1,0,0.6620284468188412,"['drinking', 'instruction', 'prepare', 'follow', 'darker', 'offering', 'trade', 'sacrifice', 'manufacture', 'exact']",none,,[],[],[],[]
2,B002IEZJMA,2,2,0.6348065871284991,"['BADREVIEW', 'bean', 'overall', 'almost', 'water', 'another', 'finish', 'somewhat', 'balance', 'chemical']","i do not buy coffee because i need a burst of energy or alertness because caffeine does not have a significant effect upon me.  i buy coffee because i like coffee and the stronger, bolder tasting coffees appeal to me the most.  i also do not appreciate coffees that derive their stronger flavor by over burning the beans during roasting.  i like strong coffees that get their stronger taste from significantly lower water content during brewing.  all other things being equal, this high coffee to water ratio gives a fuller flavor, but at a higher cost.  if money were an issue, i would rather have fewer cups of fuller tasting coffee than many more cups of weaker, less full bodied coffee.  this illy italian style espresso meets none of the requirements of a good cup of coffee except that it is made from arabica beans which tend to be less acidic, smoother and fuller bodied.  however, there are some arabica beans that are better than others and arabica beans are no guarantee of a good cup of coffee.   i would only drink this coffee under conditions of extreme thirst.  i believe this can of espresso ""tasting"" coffee compromises on so many elements of good tasting coffee such that i would not want to drink it again.  first, the espresso is weak and it probably derives whatever taste it has by over burning the beans at roasting giving it a bitter taste as opposed to a bold taste.  i know that burning the beans somewhat gives espresso its flavor by releasing more oil from the beans which allows for a frothier and smoother coffee when brewed at higher pressures.  this illy espresso did release some additional oil, but the taste was not bold because too little coffee was used in brewing.  this does not make italian style espresso, it makes a weak espresso with a hint of burned coffee beans that i doubt that espresso drinkers will find appealing.  also, this espresso style coffee has a taste that cannot be described as coffee-like.  if anything it has a chemical like bitter taste that is almost sweet.  overall, it leaves a bitter and unidentifiable taste.  perhaps some of the metallic taste from the can has impacted the taste of the coffee.  i do not know what this product attempts to be because of all of the compromises concerning its taste, its strength, its name, its market and its price, most of which seem to be contradictory.  i think illy needs to go back to the drawing board to list what qualities they are trying to produce and see if that is possible in the market.  otherwise they seem to have met none and made a product that i believe satisfies few.  lastly, the qualities of coffee are varied and thus a matter of personal preference.  i have noticed that those who do not really appreciate a good cup of coffee tend to classify coffee into two categories that are sufficient for them.  those categories simply classify coffee into those that are weak or strong, modified by too weak or too strong.  i suspect that these adjectives are sufficient for a majority and tend to simplify life by not seeking the cup of coffee that is just right.  of course, such people would use time saved on the search for truly satisfying coffee by substituting wine for coffee or colors of paint on their walls.  it seems that everyone has their specialty product of which they are aficionados.  for kids it might be cereal for blue collar workers it may be beer.  it makes one wonder if writing a review has already been done on a non-published basis for virtually all products where a choice exists.  to summarize, i do not like illy espresso drink but i do like a fresh guinness draft even though i am retired.",0.51152396,"['classify into', 'at higher', 'italian style', 'over burning', 'buy because', 'by over', 'or strong', 'their stronger', 'good cup', 'beans roasting']","['. it', '. ,', 'coffee .', 'i do', ', the', 'coffee i', 'coffee that', 'cup coffee']","['by over burning', 'over burning beans', 'weak or strong', 'italian style espresso', 'classify coffee into', 'over burning the', 'from beans which', 'do not appreciate', 'are sufficient for', 'arabica beans are']","['. i do', 'a cup of', 'a good cup', 'a good of', 'burning the beans', 'good cup coffee', 'good cup of', 'good of coffee']"
3,B002IEZJMA,3,0,0.5949082761528679,"['idea', 'quickly', 'shop', 'carbonate', 'usually', 'time', 'expensive', 'minute', 'punch', 'smell']",none,,[],[],[],[]
4,B002IEZJMA,4,0,0.5044765344970475,"['awake', 'often', 'hard', 'flat', 'exactly', 'purpose', 'transport', 'comparable', 'sweetner', 'core']",none,,[],[],[],[]
5,B002IEZJMA,5,1,0.502509245179692,"['GOODREVIEW', 'BADREVIEW', 'canned', 'quite', 'fan', 'go', 'look', 'definitely', 'cannot', 'aftertaste']","i am not a huge fan of canned coffee drinks, but i am always looking for easy coffee. this drink tasted just okay. it had a weird aftertaste that i cannot quite describe. the size of the can is adequate. i definitely will not be purchasing this again in the future. if you like convenient, ok tasting coffee to go, this is it.",0.8878204,"['i am', 'i not', 'is .']",['is .'],[],[]
6,B002IEZJMA,6,0,0.4859434378932102,"['ounce', 'first', 'say', 'cent', 'per', 'sure', 'review', 'manufacturer', 'word', 'ml']",none,,[],[],[],[]
7,B002IEZJMA,7,0,0.46262946051460796,"['future', 'thin', 'kosher', 'funny', 'important', 'skip', 'etc', 'linger', 'creamy', 'tired']",none,,[],[],[],[]
8,B002IEZJMA,8,0,0.4416355891445403,"['weird', 'shot', 'thick', 'next', 'palatable', 'consistency', 'machine', 'bottom', 'intense', 'agree']",none,,[],[],[],[]
9,B002IEZJMA,9,0,0.3323691824832127,"['caff', 'egrave', 'care', 'corn', 'finish', 'water', 'eacute', 'chain', 'throw', 'eat']",none,,[],[],[],[]
