,product,topic,as_main_topic,as_primary_subtopic,as_secondary_subtopic,topic_coherence,top_words,best_review,best_review_fit,top_bigrams_pmi,top_bigrams_freq,top_trigrams_pmi,top_trigrams_freq
0,B002IEZJMA,0,0,0,2,0.66125180258878,"['result', 'intense', 'turn', 'absolutely', 'hint', 'capuccino', 'longer', 'begin', 'creamer', 'chill']",none,,[],[],[],[]
1,B002IEZJMA,1,0,0,0,0.6090025450056673,"['weird', 'page', 'description', 'grind', 'sign', 'math', 'partake', 'ph', 'figure', 'strangeness']",none,,[],[],[],[]
2,B002IEZJMA,2,0,0,0,0.5901501107936808,"['could', 'horrible', 'husband', 'finish', 'wow', 'hope', 'chain', 'nasty', 'clear', 'hop']",none,,[],[],[],[]
3,B002IEZJMA,3,421,62,1,0.5602689981644435,"['espresso', 'would', 'flavor', 'sugar', 'illy', 'good', 'strong', 'sweet', 'okay', 'convenient']","i was bracing for this can of illy issimo coffee to contain a less-than-pleasant coffee experience, with a not-so-fresh, and overpoweringly strong-tasting coffee drink.  i was wrong.  the coffee contained within my little can had great, pure coffee flavor, with no ""can taste"". it was not overly sweet to me (although i do like my coffee really sweet. like, ""melted coffee ice cream"" sweet...), and i was surprised to see that it looked to be just pure, brewed coffee - no cream added. i tend to brew my coffee pretty strong. being a ""single cup a day to wake me up first thing"" kinda girl, i have a tendency to think that my daily cuppa joe has to be beat-you-about-the-head powerful, and, recent changes in my taste have put that into question, as has this brew. it truly does taste like it was freshly brewed, then left to chill just long enough to give you the basis for a great cup of smooth, flavorful iced coffee, whether you choose to drink it straight, or gussy it up with a little flavored syrup and half-and-half (i opted for the latter).  the previous can of illy issimo coffee that i would tried  did not really knock my socks off; i mean, it was good, but it was not the best i have ever tasted. i would given that to starbucks' frappuccino line of refrigerated coffee drinks. but this can of issimo coffee drink really was good enough to give starbucks a run for their money, for me, at least, especially considering that this brew does not contain anything more than coffee, a little sugar to sweeten it, and a few preservatives to hold it over (which any factory-made coffee drink will contain, anyway).  if you are on the run, and, for some odd reason, are not able to get yourself a cuppa joe on the go, i definitely would recommend this drink for the true coffee purist. i would be surprised if you were not pleasantly surprised by it!",0.993544578552246,"['gas station', 'ketchup turkey', 'mayo clinic', 'mountain dew', 'nowhere near', 'turkey gravy', 'lactose intolerant', 'yum yum', 'final verdict', 'desk drawer']","['like coffee', 'coffee not', 'strong coffee', 'coffee flavor', 'taste like', 'iced coffee', 'coffee taste', 'drink not']","['ketchup turkey gravy', 'history yum yum', 'conduct sampling side', 'century dead people', 'tea ketchup turkey', 'sampling side exact', 'round cent integral', 'desk drawer office', 'fit desk drawer', 'yum yum convenient']","['illy coffee drink', 'illy issimo drink', 'illy issimo caffe', 'coffee drink not', 'strong coffee flavor', 'espresso style coffee', 'espresso coffee drink', 'style coffee drink']"
4,B002IEZJMA,4,0,0,1,0.5590429037279474,"['egrave', 'caff', 'shake', 'per', 'word', 'year', 'rule', 'blend', 'wife', 'deal']",none,,[],[],[],[]
5,B002IEZJMA,5,0,1,0,0.5326749397984989,"['fan', 'quite', 'size', 'canned', 'go', 'look', 'cannot', 'definitely', 'huge', 'always']","i am not a huge fan of canned coffee drinks, but i am always looking for easy coffee. this drink tasted just okay. it had a weird aftertaste that i cannot quite describe. the size of the can is adequate. i definitely will not be purchasing this again in the future. if you like convenient, ok tasting coffee to go, this is it.",0.6663315892219543,['coffee drink'],[],[],[]
6,B002IEZJMA,6,0,0,0,0.5289889260962035,"['first', 'cent', 'choose', 'million', 'prepared', 'carbohydrate', 'robust', 'sensitive', 'manufacturer', 'subtract']",none,,[],[],[],[]
7,B002IEZJMA,7,1,0,1,0.5288362606013328,"['whole', 'must', 'glass', 'form', 'illy', 'amazon', 'prepare', 'post', 'available', 'usual']","illy cafe is the original portable coffee drink. it is plain coffee without milk, cream, or any sweetener. it is it may therefore, be more to the liking of coffee purists. illy drinks are available only in the cans (not in glass). while i might prefer glass, these cans are the only option for illy. they are available in 12 packs through amazon. with a larger order you can get them with no charge for shipping making for a competitive price. they do not need to be refrigerated at all. however, they do taste better if refrigerated prior to consumption.",0.9770832061767578,['illy available'],[],[],[]
8,B002IEZJMA,8,0,1,3,0.4489659748185003,"['potassium', 'ingredient', 'mg', 'citrate', 'bicarbonate', 'per', 'natural', 'mix', 'soda', 'sodium']","that is the third ingredient.  potassium citrate is the fourth.  is potassium bicarbonate a ""natural"" ingredient, since it is found rarely in nature?  i drink coffee every day and have never added these two chemicals to my cup of coffee.  i have read that potassium citrate is used as a diuretic, particularly in veterinary treatments.  was it really necessary to add these two chemicals to the ""espresso style"" coffee mix?  if it had been nothing but plain black coffee of typical good illy quality, then it would have rated a 5.  i will not be buying it.",0.5065688490867615,"['add chemical', 'add two', 'two chemical', 'potassium citrate']","['potassium citrate', 'two chemical']",['add two chemical'],[]
9,B002IEZJMA,9,0,1,3,0.4127197399058768,"['husband', 'large', 'difference', 'cappuccino', 'caffe', 'unless', 'chocolate', 'machine', 'package', 'special']","this is a great tasting coffee, when chilled, it is great! cans are 6.8 ounces, and a pure burst of goodness!",0.5648155212402344,[],[],[],[]
